JobTitle,CompanyName,Location,Salary
DATA ANALYST,Recore Limited,Lagos,"₦90,000 - ₦100,000"
new,Paga,Yaba,0
Data Analyst (Mid-level to Senior-level),Kudi,Lekki,0
Bilingual Implementation Analyst,VIDCRUITER,Ibadan,"₦228,663"
Junior Data Analyst,NoemDek,Lagos,0
new,MECHO AUTOTECH LIMITED,Lagos,0
new,Omnibiz Africa,Lagos,0
Technical Operations Analyst,Opay Nigeria,Lagos,"₦200,000 - ₦300,000"
Data Analyst,Multipro Consumer Products Limited,Kano,0
sales Analyst,Pegasus Hub,Lagos,"₦90,000 - ₦110,000"
IT Support Analyst,Artech2000,Lagos,0
new,Matador Trust,Lagos,"₦300,000 - ₦450,000"
Data Analyst Job at Oaklands and Johnson Limited,Oaklands and Johnson Limited,Lagos,0
new,JSK Consulting Group,Lagos,"₦105,000"
new,Scimitar Global Services Limited,Ikeja,"₦70,000"
new,The Concept Group,Lagos,0
Corporate Finance Specialist,Recore Limited,Lagos,"₦550,000 - ₦600,000"
Customer Experience Data Analyst,Main One,Lagos,0
Business Analyst,DBH Africa,Lagos,"₦200,000 - ₦250,000"
Market Research Analyst​​,Iconway,Lagos,"₦120,000"
Reconciliation Analyst,Kudi,Lekki,0
new,Tek Experts,Lagos,0
new,Nextier Capital Limited,Abuja,0
Research Analyst,IFPRI (International Food Policy Research...,Abuja,0
Career Coach (External Contractor) - Data Analyst - Africa,Udacity,Lagos,0
Accounts Payable Analyst,ELEMENTS Global Services,Lagos,0
Supply Chain Specialist - RtP,Shell,Lagos,0
Social media marketing intern,ValueGate Consulting,Abuja,0
Jr. Fertilizer Market Analyst-Nigeria,IFDC- International Fertilizer Development,Abuja,0
Junior Business Analyst,NoemDek,Lagos,0
new,Veegil Media,Lagos,"₦1,200,000 a year"
Data Engineer,Pangaea,Lagos,0
Financial Analyst,BuyPower,Abuja,0
Financial Analyst,Primeguage Solutions Limited,Abuja,0
Data Analyst Recruitment at Oaklands and Johnson Limited,Oaklands and Johnson Limited,Lagos,0
Data Analyst,Oluwalonimi International Limited,Abuja,0
new,The Concept Group,Lagos,0
"Data Analyst, Global Health Security (Program Officer)",IHV Nigeria,Abuja,0
Junior PLS/SQL developer,Triversa Solutions Limited,Lagos,"₦250,000"
Data Analyst Job at First Katalyst Marketing,First Katalyst Marketing,Lagos,0
Senior Business Intelligence Analyst,Opay Nigeria,Lagos,0
Data Scientist,Sendbox Technologies,Lagos,0
Financial Analyst,ECSCORP AND COMPANY,Lagos,0
Service Level Analyst,Medrona,Lagos,0
Market Intelligence Analyst,TeamApt,Lagos,0
new,Main One,Lagos,0
DATA ANALYST,Stardom Resources,Lagos,0
Finance Manager,Recore Limited,Lagos,"₦550,000 - ₦600,000"
Solutions Implementation and Support Analyst,INFOWARE LIMITED,Lagos,0
new,Jumia,Lagos,0
Business Development Associate,Primeguage Solutions Limited,Abuja,0
Product Analyst,PC,Lagos,0
Shavers - Supervisor,BIC,Shagamu,0
Data Analyst - Talent Sourcing Associate,GOLDIE SERVICES,Lagos,0
"Analyst, Monitoring and Evaluation",Clinton Health Access Initiative,Abuja,0
new,Lendha,Lagos,0
Business development intern,ValueGate Consulting,Abuja,0
new,Jumia,Lagos,0
Bilingual Configuration Analyst,VIDCRUITER,Kano,"₦228,663"
Full Stack Developer,Smartsafe Consulting,Lagos,0
Head of Data Science,TeamApt,Lagos,0
"Team Lead, Experience and Standardization",Stresert Services Limited (Third party...,Lagos,0
FINANCIAL ANALYST,Binary Consulting Limited,Lagos,0
Compensation & Benefits Analyst,Dangote Cement,Lagos,0
Executive Assistant to Sales Leader,Oracle,Lagos,0
Grafana Developer,TERAWORK,Lagos,0
new,Canonical - Jobs,Lagos,0
Credit Analyst,Branch International,Lagos,0
Data Analyst,Phillips Outsourcing,Lagos,0
Financial and Risk Analyst,The People Practice,Lagos,0
Network Performance Analyst,Main One,Lagos,0
Business Analyst,Mi-C3 International,Lagos,0
Social Media Analyst,Maple Travels,Lagos,0
MICROBIOLOGIST/QC ANALYST,Evans Industries,Ikeja,0
Policy Reform Specialist,Creative Associates International,Abuja,0
Category Analyst,Jumia Group,Lagos,0
new,digital divide data,Kano,0
Financial Analyst Recruitment at Focal Points Ventures,Focal Points Ventures,Lagos,0
Data Engineer (Mid-level to Senior-level),Kudi,Lekki,0
new,Sujimoto Construction Limited,Lagos,0
Tech Talent Recruiter: Lagos,THE ROOM,Lagos,0
GIS Specialist,ipNX,Lagos,0
Risk Analyst,Sankore Investments,Lagos,0
Operation and Maintenance Cost Analyst,Stantec,Abeokuta,0
Compensation and Benefits Analyst,Human Resource Specialists (Nigeria),Lagos,0
Finance Manager,Spacefinish Africa,Lagos,0
Data Engineer,WIZELINE,Lagos,0
Digital Marketer,Foodie24 Lagos Restaurant,Lagos,0
Credit Data Analyst,Zinka Resources,Lagos,0
QA Tester Recruitment at Renmoney,Renmoney,Lagos,0
